module_code,course_title,industry,industry_others,occupation,other_occupations_title
MA1505,Quantitative Reasoning,Hospitality,,Research Officer (Non-Statistical),
EC2104,Chemistry for Life Sciences,Hospitality,,Research Officer (Non-Statistical),
CS1010,Developmental Psychology,Hospitality,,Research Officer (Non-Statistical),
EC3102,Manufacturing Processes,Hospitality,,Research Officer (Non-Statistical),
ST2131,Cell Biology,Hospitality,,Research Officer (Non-Statistical),
ES1301,Nature and Society,Hospitality,,Research Officer (Non-Statistical),
CS1231,Nation-Building in Singapore,Hospitality,,Research Officer (Non-Statistical),
LSM2102,Biodiversity,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
GEK1900,World Religions,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
ME6999,Quality Engineering I,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
EC2102,Understanding the Universe,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
CM3242,"Legal Analysis, Writing And Research I",Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
CM1502,Living with Mathematics,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
TG2415,Principles of Communication Management,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",
CN3132,Introduction to Programming with Matlab,Business and Management Consultancy,,"Others, please provide job title and description",
CS2106,Econometrics I,Business and Management Consultancy,,"Others, please provide job title and description",
HR2002,HeadStart Module (A Career Development Programme),Business and Management Consultancy,,"Others, please provide job title and description",
CM2142,Heat & Mass Transfer,Business and Management Consultancy,,"Others, please provide job title and description",
FIN2004,Singapore Society,Business and Management Consultancy,,"Others, please provide job title and description",
PC1322,"South Asia : People, Culture, Develop'm",Business and Management Consultancy,,"Others, please provide job title and description",
EC3102,Manufacturing Processes,Business and Management Consultancy,,"Others, please provide job title and description",
ME2112,Clean Energy and Storage,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
CS1010E,Principles of Marketing,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
ME2113,Money and Banking I,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
CN3121,Industrial Practice,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
ME3102,Honours Thesis,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
PH1102E,"Legal Analysis, Research & Communication",Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
BSP1005,Physics IIE,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
LAJ2201,Managerial Accounting,Chemical manufacturing,,Research Officer (Non-Statistical),RESEARCH ASSISTANT
IT1003,User Centred Design Methodologies,Chemical manufacturing,,Information Technology Project Manager,
GEK1542,Process Dynamics & Control,Chemical manufacturing,,Information Technology Project Manager,
NM2101,Public Writing and Communication,Chemical manufacturing,,Information Technology Project Manager,
LAJ1201,DOCTORAL SEMINARS,Chemical manufacturing,,Information Technology Project Manager,
NCC1000,Metabolism and Regulation,Chemical manufacturing,,Information Technology Project Manager,
LSM2103,Introduction to Politics,Chemical manufacturing,,Information Technology Project Manager,
EC2101,The Nature of Language,Chemical manufacturing,,Information Technology Project Manager,
EC1101E,Changing Landscapes of Singapore,Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
EE2004,Experiments in Chemistry 1,Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
MKT1003X,Biochemistry of Biomolecules,Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
PC2230,MARKETING MANAGEMENT,Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
NCC1000,Metabolism and Regulation,Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
EE2022,Research Methods,Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
CN3108,"Malays - Tradition, Conflict and Change",Chemical manufacturing,,"Others, please provide job title and description",SOCIAL WORKER
MA1506,Mathematics II,Chemical manufacturing,,Non Applicable based on skip pattern,
EG2401,Principles of Economics,Chemical manufacturing,,Non Applicable based on skip pattern,
SC2220,Development Economics I,Chemical manufacturing,,Non Applicable based on skip pattern,
ACC2002,Introduction to Economic Analysis,Chemical manufacturing,,Non Applicable based on skip pattern,
LAJ1201,DOCTORAL SEMINARS,Chemical manufacturing,,Non Applicable based on skip pattern,
LAJ1201,DOCTORAL SEMINARS,Chemical manufacturing,,Non Applicable based on skip pattern,
SN1101E,Government and Politics of Singapore,Chemical manufacturing,,Non Applicable based on skip pattern,
ACC2002,Introduction to Economic Analysis,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
PF2105,Real Estate Market Analysis,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
SSA2209,B.Tech. Dissertation,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
LSM2251,Corporate Finance,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
LAJ2203,Physical Chemistry 2,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
LAK1201,Engineering Mathematics I,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
SSA2219,Medical-Surgical Nursing II,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
LSM1103,Principles of Mechanical Eng. Materials,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,
IS1105,Visualisation in Design and Technology,Construction,,"Others, please provide job title and description",
CS1101,Childhood and Youth,Construction,,"Others, please provide job title and description",
MD2140,Engineering Calculus,Construction,,"Others, please provide job title and description",
NM1101E,Asking Questions,Construction,,"Others, please provide job title and description",
SSA2215,Data Structures and Algorithms II,Construction,,"Others, please provide job title and description",
MKT1003,Management And Organisation,Construction,,"Others, please provide job title and description",
EG5911,Electrical Energy Systems,Construction,,"Others, please provide job title and description",
LSM1101,"Communications, New Media and Society",Construction,,"Others, please provide job title and description",
ME2101,Forensic Science,Construction,,Research Officer (Non-Statistical),
DP1001,Mathematics I,Construction,,Research Officer (Non-Statistical),
PF1103,Industrial and Organisational Psychology,Construction,,Research Officer (Non-Statistical),
GEK1900,World Religions,Construction,,Research Officer (Non-Statistical),
MNO1001,Finance,Construction,,Research Officer (Non-Statistical),
EE3331C,Thermodynamics and Statistical Mechanics,Construction,,Research Officer (Non-Statistical),
EE2005,Cosmetics & Perfumes,Construction,,Research Officer (Non-Statistical),
PC1222,Macroeconomic Analysis II,Construction,,Research Officer (Non-Statistical),
EG1413,Introduction to Operating Systems,Construction,,Management Executive,
LSM3223,Entrepreneurship,Construction,,Management Executive,
PC1222,Macroeconomic Analysis II,Construction,,Management Executive,
EU1101E,Mechanical Systems Design I,Construction,,Management Executive,
GEK1519,Multivariable Calculus,Construction,,Management Executive,
CM1401,Business Analytics - Data & Decisions,Construction,,Management Executive,
CS1231,Nation-Building in Singapore,Construction,,Management Executive,
RE2106,Taxation,Construction,,"Others, please provide job title and description",
SSA2220T,Cyber Security,Construction,,"Others, please provide job title and description",
CS1231,Nation-Building in Singapore,Construction,,"Others, please provide job title and description",
CS1010E,Principles of Marketing,Construction,,"Others, please provide job title and description",
EC3303,Bahasa Indonesia 1,Construction,,"Others, please provide job title and description",
EC3312,Climate Responsive Architecture,Construction,,"Others, please provide job title and description",
CS1101C,Business Communication for Leaders (BBA),Construction,,"Others, please provide job title and description",
EE1003,Complementary Medicine and Health,Construction,,Life Science Professionals,
LC1003,Organic Chemistry for Engineers,Construction,,Life Science Professionals,
LAJ1201,DOCTORAL SEMINARS,Construction,,Life Science Professionals,
GER1000,Programming Methodology,Construction,,Life Science Professionals,
CM2192,"Singapore, Asia and American Power",Construction,,Life Science Professionals,
ME2143,Fundamental Pharmacology,Construction,,Life Science Professionals,
LSM1102,Discrete Structures,Construction,,Life Science Professionals,
EC1301,Financial Accounting,Construction,,"Others, please provide job title and description",
CFG1010,Engineering Professionalism,Construction,,"Others, please provide job title and description",
MLE1101,Human Capital in Organizations,Construction,,"Others, please provide job title and description",
MNO2009,Japanese 3,Construction,,"Others, please provide job title and description",
PC1432,Japanese 1,Construction,,"Others, please provide job title and description",
EG2401,Principles of Economics,Construction,,"Others, please provide job title and description",
MUT1122,Computer Communication Networks I,Construction,,"Others, please provide job title and description",
EC1301,Financial Accounting,Construction,,Non Applicable based on skip pattern,
EG1108,Linear Algebra I,Construction,,Non Applicable based on skip pattern,
SC2212,Financial Markets,Construction,,Non Applicable based on skip pattern,
CS1010E,Principles of Marketing,Construction,,Non Applicable based on skip pattern,
ME3102,Honours Thesis,Construction,,Non Applicable based on skip pattern,
MA1104,Numerical Analysis I,Construction,,Non Applicable based on skip pattern,
EC3102,Manufacturing Processes,Construction,,Non Applicable based on skip pattern,
EC1301,Financial Accounting,Construction,,"Others, please provide job title and description",
CE2184,Engineering Economy,Construction,,"Others, please provide job title and description",
MNO2009,Japanese 3,Construction,,"Others, please provide job title and description",
LSM2102,Biodiversity,Construction,,"Others, please provide job title and description",
EE2020,Business Analytics - Models & Decisions,Construction,,"Others, please provide job title and description",
SSA2202,Japanese 2,Construction,,"Others, please provide job title and description",
CE2134,Pathology,Construction,,"Others, please provide job title and description",
CM1501,Critical Thinking And Writing,Construction,,Building Architect,
CE2155,The Sociology of Food,Construction,,Building Architect,
ST1232,Microeconomic Analysis I,Construction,,Building Architect,
EC2104,Chemistry for Life Sciences,Construction,,Building Architect,
LAJ1201,DOCTORAL SEMINARS,Construction,,Building Architect,
GEK1521,Professional Communication,Construction,,Building Architect,
EC3351,FINANCIAL ACCOUNTING,Construction,,Building Architect,
ST2131,Cell Biology,Education,,"Others, please provide job title and description",
EC3304,Biological Psychology,Education,,"Others, please provide job title and description",
ME2134,Engineering Thermodynamics,Education,,"Others, please provide job title and description",
EC3333,Mechanics Of Materials I,Education,,"Others, please provide job title and description",
SSB2216,Anatomy and Physiology I,Education,,"Others, please provide job title and description",
LC1003,Organic Chemistry for Engineers,Education,,"Others, please provide job title and description",
ST3236,Research Methodology & Ethics,Education,,"Others, please provide job title and description",
DSC2006,Managerial Economics,Education,,"Others, please provide job title and description",
SSS1207,Physics in the Life Sciences,Education,,"Others, please provide job title and description",
CN1111,Physical Chemistry 1,Education,,"Others, please provide job title and description",
MA1505,Quantitative Reasoning,Education,,"Others, please provide job title and description",
LAJ2202,Mechanics of Materials,Education,,"Others, please provide job title and description",
SSA2215,Data Structures and Algorithms II,Education,,"Others, please provide job title and description",
EC3371,English For Academic Purposes (Engg),Education,,"Others, please provide job title and description",
SSA2219,Medical-Surgical Nursing II,Education,,"Others, please provide job title and description",
MKT1003X,Biochemistry of Biomolecules,Education,,"Others, please provide job title and description",
ACC2002,Introduction to Economic Analysis,Education,,"Others, please provide job title and description",SOCIAL WORKER
EE2010,Transition Metal Chemistry,Education,,"Others, please provide job title and description",SOCIAL WORKER
CS3230,Real Estate Finance,Education,,"Others, please provide job title and description",SOCIAL WORKER
CE2183,The Theatre Experience,Education,,"Others, please provide job title and description",SOCIAL WORKER
PR3103,Physiology 2,Education,,"Others, please provide job title and description",SOCIAL WORKER
ME3102,Honours Thesis,Education,,"Others, please provide job title and description",SOCIAL WORKER
LSM1102,Discrete Structures,Education,,"Others, please provide job title and description",SOCIAL WORKER
SE1101E,Asian Business Environments,Education,,"Others, please provide job title and description",SOCIAL WORKER
PC2232,Circuit and Systems Design Lab,Education,,Management Consultant,
GET1029,Stochastic Processes I,Education,,Management Consultant,
SN1101E,Government and Politics of Singapore,Education,,Management Consultant,
MA1506,Mathematics II,Education,,Management Consultant,
ES5001A,Reporting Statistics in the Media,Education,,Management Consultant,
ME2135,Digital Fundamentals,Education,,Management Consultant,
MA1506,Mathematics II,Education,,Management Consultant,
FIN3103A,Pharmacology,Education,,Management Consultant,
ME2151,Probability and Statistics,Education,,Non Applicable based on skip pattern,
SSA2211,Geographical Journeys: Exploring World Environments,Education,,Non Applicable based on skip pattern,
ME3101,Linear Algebra II,Education,,Non Applicable based on skip pattern,
CM1501,Critical Thinking And Writing,Education,,Non Applicable based on skip pattern,
GEK1511,Employee Management In Singapore,Education,,Non Applicable based on skip pattern,
SSA2204,Fundamentals of Biochemistry,Education,,Non Applicable based on skip pattern,
MA1312,Project and Facilities Management Law,Education,,Non Applicable based on skip pattern,
NM2104,Fundamentals of Real Estate Finance,Education,,Non Applicable based on skip pattern,
IT1005,Basic Applied Mathematics for Sciences,Education,,"Others, please provide job title and description",
NCC1001,Social Work: A Heart-Head-Hand Connection,Education,,"Others, please provide job title and description",
ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,Education,,"Others, please provide job title and description",
EG2401,Principles of Economics,Education,,"Others, please provide job title and description",
ST1131,Calculus,Education,,"Others, please provide job title and description",
PH1102E,"Legal Analysis, Research & Communication",Education,,"Others, please provide job title and description",
EC2303,Science of Music,Education,,"Others, please provide job title and description",
SSS1207,Physics in the Life Sciences,Education,,Marketing and Sales Representative (Technical),
EC2101,The Nature of Language,Education,,Marketing and Sales Representative (Technical),
EE2022,Research Methods,Education,,Marketing and Sales Representative (Technical),
NUR1114,The Mathematics of Games,Education,,Marketing and Sales Representative (Technical),
IS2102,Anthropology and the Human Condition,Education,,Marketing and Sales Representative (Technical),
CFG1001,Einstein's Universe & Quantum Weirdness,Education,,Marketing and Sales Representative (Technical),
CN2125,Microbiology,Education,,Marketing and Sales Representative (Technical),
NM2216,CORPORATE STRATEGY,Education,,Social Work and Counselling Professional,
MA1505,Quantitative Reasoning,Education,,Social Work and Counselling Professional,
PC1322,"South Asia : People, Culture, Develop'm",Education,,Social Work and Counselling Professional,
MA1506,Mathematics II,Education,,Social Work and Counselling Professional,
LSM1401,Data Structures and Algorithms I,Education,,Social Work and Counselling Professional,
EE2012,Mathematical Analysis I,Education,,Social Work and Counselling Professional,
DP1001,Mathematics I,Education,,Social Work and Counselling Professional,
NM2220,Principles Of Property Law,Education,,Non Applicable based on skip pattern,
IT1003,User Centred Design Methodologies,Education,,Non Applicable based on skip pattern,
GER1000,Programming Methodology,Education,,Non Applicable based on skip pattern,
CM1502,Living with Mathematics,Education,,Non Applicable based on skip pattern,
PC1327,IS Innovations in Organisations and Society,Education,,Non Applicable based on skip pattern,
CFG1001,Einstein's Universe & Quantum Weirdness,Education,,Non Applicable based on skip pattern,
CG2271,Evidence (A),Education,,Non Applicable based on skip pattern,
EC1101E,Changing Landscapes of Singapore,Education,,"Others, please provide job title and description",SOCIAL WORKER
PL2132,Writing Academically: Arts and Social Sciences,Education,,"Others, please provide job title and description",SOCIAL WORKER
EE4001,German 1,Education,,"Others, please provide job title and description",SOCIAL WORKER
DP1001,Mathematics I,Education,,"Others, please provide job title and description",SOCIAL WORKER
PS1101E,StepUp Module (A Career Development Programme),Education,,"Others, please provide job title and description",SOCIAL WORKER
EC3101,Statistics for Life Sciences,Education,,"Others, please provide job title and description",SOCIAL WORKER
MA1102R,Southeast Asia: A Changing Region,Education,,"Others, please provide job title and description",SOCIAL WORKER
SC1101E,Physics IE,Education,,"Others, please provide job title and description",
BMA5001,Mathematical Finance I,Education,,"Others, please provide job title and description",
DP1001,Mathematics I,Education,,"Others, please provide job title and description",
LAJ1201,DOCTORAL SEMINARS,Education,,"Others, please provide job title and description",
LSM1301,Introduction to Psychology,Education,,"Others, please provide job title and description",
LC2007,Communicating Engineering,Education,,"Others, please provide job title and description",
SE1101E,Asian Business Environments,Education,,"Others, please provide job title and description",
CS1010E,Principles of Marketing,Education,,"Others, please provide job title and description",
EG3601,Signals and Systems,Education,,"Others, please provide job title and description",
BFS1001,Methods of Social Research,Education,,"Others, please provide job title and description",
SSA2211,Geographical Journeys: Exploring World Environments,Education,,"Others, please provide job title and description",
MKT1003,Management And Organisation,Education,,"Others, please provide job title and description",
EE2005,Cosmetics & Perfumes,Education,,"Others, please provide job title and description",
LAF2201,Introduction to Modern Physics,Education,,"Others, please provide job title and description",
PS2249,Signals,Education,,"Others, please provide job title and description",
DSC2006,Managerial Economics,Education,,"Others, please provide job title and description",
RE2106,Taxation,Education,,"Others, please provide job title and description",
LAB1201,Introduction to Japanese Studies,Education,,"Others, please provide job title and description",
LAK2201,Human Factors Engineering,Education,,"Others, please provide job title and description",
IT1005,Basic Applied Mathematics for Sciences,Education,,"Others, please provide job title and description",
LSM3211,Introductory Mathematics,Education,,"Others, please provide job title and description",
PC1222,Macroeconomic Analysis II,Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
MA2108,GRADUATE ENGLISH COURSE (INTERMEDIATE LEVEL),Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
SW1101E,Macro And International Economics,Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
LC2004,Accounting Information Systems,Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
FAS1101,Financial Economics I,Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
CS1010E,Principles of Marketing,Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
CM1121,Database Systems,Education,,Marketing and Sales Representative (Technical),SOCIAL WORKER
MA3111,Signals & Communications Design Lab,Education,,"Others, please provide job title and description",
MA1101R,Making Sense of Society,Education,,"Others, please provide job title and description",
GER1000,Programming Methodology,Education,,"Others, please provide job title and description",
